elapsed_time,servo_val,motor_speed
0.0,570,0
0.077,570,0
0.101,570,0
0.167,570,0
0.185,570,0
0.213,570,0
0.246,570,0
0.277,570,0
0.309,570,0
0.342,570,0
0.374,570,0
0.407,570,0
0.438,570,0
0.47,570,0
0.501,570,0
0.551,570,0
0.581,570,0
0.613,570,0
0.644,680,0
0.676,680,0
0.71,680,0
0.742,680,0
0.772,680,0
0.804,680,0
0.838,680,0
0.87,680,0
0.9,680,0
0.948,680,0
0.98,680,0
1.013,680,0
1.045,680,0
1.076,570,0
1.108,480,0
1.141,480,0
1.175,480,0
1.206,480,0
1.237,480,0
1.269,480,0
1.303,480,0
1.351,480,0
1.383,480,0
1.413,480,0
1.445,480,0
1.478,480,0
1.509,480,0
1.54,480,0
1.573,480,0
1.605,570,0
1.638,570,0
1.669,570,0
1.7,570,0
1.734,570,0
1.779,570,0
1.814,570,0
1.846,570,0
1.879,570,0
1.908,570,0
1.941,570,0
1.975,570,0
2.005,570,70
2.037,570,70
2.07,570,70
2.103,570,70
2.152,570,70
2.183,570,70
2.215,570,70
2.246,570,70
2.276,570,70
2.308,570,70
2.34,570,70
2.372,570,70
2.405,570,70
2.437,570,70
2.468,570,70
2.5,570,70
2.55,570,70
2.581,570,70
2.612,570,70
2.644,570,70
2.676,570,70
2.707,680,70
2.74,680,0
2.773,680,70
2.804,570,70
2.836,570,70
2.868,570,70
2.9,570,70
2.933,570,70
2.983,570,70
3.015,570,70
3.046,570,0
3.077,570,0
3.111,570,70
3.141,570,70
3.174,570,70
3.206,570,70
3.238,570,70
3.27,570,70
3.302,570,70
3.333,570,70
3.38,570,70
3.413,570,70
3.445,570,70
3.477,570,70
3.509,570,70
3.54,570,70
3.573,570,70
3.605,570,70
3.636,570,70
3.668,570,70
3.702,570,70
3.733,570,70
3.78,570,70
3.812,570,70
3.844,570,70
3.876,570,70
3.908,570,70
3.943,570,70
3.972,570,70
4.005,570,70
4.037,570,70
4.068,570,70
4.1,570,70
4.133,570,70
4.18,570,70
4.212,570,70
4.244,570,70
4.277,570,70
4.308,570,70
4.34,570,70
4.373,570,70
4.404,570,70
4.437,570,70
4.469,570,70
4.502,570,70
4.532,570,70
4.583,570,70
4.613,570,70
4.647,570,70
4.678,570,70
4.708,570,70
4.741,570,70
4.773,570,70
4.805,570,70
4.836,570,70
4.868,570,70
4.901,570,70
4.933,570,70
4.982,570,70
5.012,570,70
5.044,570,70
5.076,570,70
5.109,570,70
5.14,570,70
5.172,570,70
5.205,570,70
5.237,570,70
5.268,570,70
5.301,570,70
5.332,570,70
5.38,570,70
5.412,570,70
5.439,570,70
5.477,570,70
5.509,570,70
5.541,570,70
5.573,570,70
5.605,570,70
5.636,570,70
5.67,570,70
5.7,570,70
5.732,570,70
5.78,570,70
5.812,570,70
5.844,570,70
5.877,570,70
5.909,570,70
5.941,570,70
5.973,570,70
6.005,570,70
6.037,570,70
6.069,570,70
6.1,570,70
6.133,570,70
6.18,570,70
6.212,570,70
6.244,570,70
6.276,570,70
6.308,570,70
6.341,570,70
6.373,570,70
6.404,570,70
6.436,570,70
6.468,570,70
6.5,570,70
6.533,570,70
6.58,570,70
6.613,570,70
6.645,570,70
6.677,570,70
6.709,570,70
6.741,570,70
6.772,570,70
6.804,570,70
6.836,570,70
6.869,570,70
6.9,570,70
6.932,570,70
6.964,570,70
7.012,570,70
7.044,570,70
7.076,570,70
7.108,570,70
7.14,570,70
7.174,570,70
7.206,570,70
7.238,570,70
7.27,570,70
7.301,570,70
7.332,570,70
7.365,570,70
7.413,570,70
7.444,570,70
7.477,570,70
7.509,570,70
7.54,570,70
7.572,570,70
7.604,570,70
7.637,570,70
